Word,Occurances,IsName
"CroatiavsFrance,Worldcup",2,false
"ENG,worldcup,goinghomeorcominghome",2,false
"FRABEL,FRA,BEL,SemiFinals,WorldCup,WorldCup2018",2,false
"RipCity,WorldCup,Wimbeldon,NBASummerLeague,TheBridge",3,false
"Copa2018,WorldCup,TeenChoice,ChoiceFandom,BTSARMY",2,false
"ENGCRO,WorldCup,WorldCup2018,Eng,CRO,CROENG",2,false
"uru,POR,WorldCup,URUPOR,Ronaldo,Cavani,Suarez",2,false
"COLENG,ENG,COL",2,false
"WorldCup,RUS,CRO",162,false
"WorldCup,SpainVSRussia,CroatiavsDenmark,RowdyNation",2,false
"cro,cro,DEN,CRODEN,worldcup",2,false
"francevsbelgium,FRABEL,FRA,BEL",2,false
"WorldCup,England",97,false
"French,FraVsArg,WorldCup,RoundOf16",2,false
"WorldCup,GERMEX",6,false
"Bromancegoals,worldcup",6,false
"WorldCup,Football,Soccer,FRAARG",2,false
"ENGCRO,WorldCup,EngCro",2,false
"WorldCup,gutted",3,false
"Fifa2018,Fifafinal,Fifa18,FIFA,football,fifa18final,worldcup,Fifacup,fifaworldcup",2,false
"URUPOR,PortugalvsUruguay,Ronaldo,ArgentinaVsFrancia,Messi,WorldCup",2,false
"ESPRUSGuess,ESPRUS,WorldCup",2,false
"Yemen,Yemen,?????,WorldCupFinal,FRA,CRO",4,false
"blogdontlie,france,worldcup,russia2018,adidasfootball,nikefootball,pumafootball",2,false
"HereToCreate,WorldCup",171,false
"ENGCRO,WorldCup,FifaWorldCup2018,Croatia,EnglandvsCroatia",3,false
"EngCro,EnglandvsCroatia,worldcup",2,false
"Croatia,Worldcup,Croatia,FRACRO",2,false
"CRO,WorldCupFinal,FRACRO,FrancevsCroatia,FRACROA,CROFRA,CROvFRA,croatia,CROATIA,FRA,WorldCup,WorldCupRussia2018,FifaWorldCup2018,Moscow,FIFA,fifaworldcup,FiFaFinal",2,false
"CRO,CRO,FRACRO,WorldCup,WorldCupFinal,LukaModric,Kovacic",2,false
"WorldCup,winner,nanana",2,false
"Spain,OhWell,TheresAlwaysNextTime,VivaEspaña,SpainVSRussia,WorldCup",2,false
"GOAT,igbo",2,false
"Bel,WorldCup,WM2018",2,false
"FRA,ARG,FRAARG,URU,POR,URUPOR,ESP,RUS",56,false
"WorldCup,USMNT",11,false
"United2026,WorldCup",2,false
"CRO,WorldCup,worldcup2018",2,false
"FAKELOVE,WorldCup,FIFAStadiumDJ,TeenChoice,ChoiceFandom,ChoiceInternationalArtist,BTSARMY,BTS",2,false
"euro2016,WorldCup",2,false
"music,RapCitySA,trapmusic,beats,sendmebeats,datpiff,SoundCloud",2,false
"France,LesBleus,WorldCup",3,false
"FIFAWCOnStarTimes,StarTimesUg,StarTimesApp",2,false
"FRAKRO,WorldCup,CROFRA,Russia2018,WorldCupFinal",2,false
"FRA,WORLDCUPCHAMPIONS2018,WorldCupFinal,worldcup",2,false
"WorldCup,ItsComingHome,ENG,Passion,AvIt",2,false
"WorldCup,Belgium,Russia2018,Netherlands",3,false
"Belgium,England,WorldCup,sharjah24",2,false
"croatia,france,worldcup",2,false
"WorldCup,WorldCup2018,getcable",2,false
"Twitter,UK,WorldCup,Russia",2,false
"Neymar,BRABEL,WorldCup,WorldCup,URUFRA,bra,BEL,brazilvsbelgium",2,false
"???????????????????,BB20,WorldCup,QAnon,quote,Quran,PMOIndia",2,false
"worldcup,Rusia2018,FRA,BEL,news,LaJuve,RealMadrid,HalaMadrid,Ronaldo,DatingService,Relationships,SugarDaddy,SugarBaby,SugarBabies,Matchmaking,Love",36,false
"WorldCup,WorldCupRussia2018,FRABEL",4,false
"WorldCup,FRABEL,NFFCshow",3,false
"mufc,ENG,WorldCup,ENGCRO",2,false
"WorldCup,Bel,Jpn",2,false
CokeScoreChallenge,5,false
"Giroud,FRABEL,WorldCup",7,false
"BRAMEX,WorldCup,wc18gr",3,false
"champions2018,worldcup,england,ItsComingHome",2,false
"FRAARG,worldcup,FRA,ARG",2,false
"bts,fakelove,WorldCup",2,false
"WorldCup,WorldCupRussia2018,Mexican,Mexico",2,false
Footballnomics,2,false
"worldcup,WorldCupFinal,FRACRO,Croatia,France,FrancevsCroatia",2,false
"PORURU,ARGFRA",2,false
"worldcup,ESP,RUS,CRO,DEN",2,false
TheUPSStore65,2,false
"worldcup,ESPRUS,CRODEN,AwakensYourInnerGoalkeeper",2,false
"ENGCRO,WorldCup,eng",2,false
"MfanaComedy,SkeemSaam,EskomStrike,ptatraffic,siya2018,Russia2018,ENGvSA,WorldCup,TrumpKim",2,false
"flop,cheater,WorldCup",2,false
"Rashford,ENG,CROENG,WorldCup",2,false
FRAvCRO,2,false
"PROMO,win,Morningrush,terrifictuesday,Lottomania,LOTTO,Naijavirals",3,false
"FRA,BEL,FRABEL,WorldCup,REDTVWorldCup",70,false
"FRABEL,WorldCup,Breathe",2,false
"CROENG,LuzhnikiStadium,WorldCup,CRO",2,false
"RobRensenbrink,WorldCupFinal,Netherlands,WC1978,WorldCup",2,false
"FRA,LesBleus,WORLDCUP",11,false
"CRO,SKS_36,FIFAWorldCup2018",2,false
"TheLocal,ReactionCam,WorldCup",2,false
"bollocksnonsense,ITVPunditsTalkingRubbish,CROENG,WorldCup",2,false
"WorldCup,CRO,BeProud,FlamingPride",68,false
"Croacia,England,EnglandvsCroatia,WorldCup",2,false
"WorldCup,WorldCup2018,France,Croatia,WorldCupFinal2018,FifaWorldCupRussia2018,FinalRusia2018",2,false
"LaLiga,WorldCup,WorldCupFinal",2,false
"WorldCup,AllezLesBleus,FRA",3,false
"WorldCup,VaiCorinthians",2,false
"WorldCup,FRACRO,FifaWorldCup2018,LoveThisGame",2,false
Soccer,2,false
"ENG,ENGLAND,WorldCup",2,false
"roaringforengland,WorldCup,ItsComingHome",2,false
"France,Croatia,WorldCup,Telestar18,FrancevsCroatia,fifaworldcup2018,LiveItUp",2,false
"CRO,FRA,CRODEN,WorldCup",2,false
"WorldCup,ThailandCaveRescue,Cartoon,FIFA",47,false
"URUPOR,wORLDCUP",5,false
"WorldCup2018,URUPOR,WorldCup,Russia,Uruguay,Portugal",2,false
"Socca,WorldCup,WeGoAgain",3,false
"Croatia,WorldCup,CROENG",10,false
"Worldcup,EnglandvCroatia",5,false
"WorldCup,France,Croatia,WorldCup2018,Pogba,Mbappe",2,false
"Uruguay,Portugal,URUPOR,URU,POR,UruguayPortugal,WorldCup,WC2018,betting,Russia2018,Ronaldo,CR7",2,false
"WorldCup,Semifinales,cricket",2,false
"BravoLesBleus,France,WorldCup,Rusia2018",2,false
"pride,worldcup",2,false
"whatline,worldcup,CROvsDEN",2,false
WorldCup2018,70,false
"FRAARG,WorldCup,byebyeMessi,byebyeargentina",3,false
"FRABEL,WorldCup2018,WorldCup",11,false
"BringItHome,WorldCup",2,false
"WorldCup,Ronaldo,Messi,greatestPlayersEver,ThanksGod",2,false
"MancMonégasques,FM18",6,false
"danielupdate,worldcup,france,croatia",2,false
"England,ThreeLions,France,GoldenBoot,WorldCup,Russia2018,WorldCupFinal",2,false
"COLENG,WorldCup,ENG",2,false
"beergoggleman,WorldCup2018,WorldCup,Russia2018",2,false
"FRABEL,FRA,BEL,WorldCup,SABCKuzobaLit",3,false
"Croatia,England,Modric",8,false
"ESPRUS,Russia,WorldCup,Spain",3,false
"Lukaku,FIFAWC2018,FRABEL",2,false
"WorldCupRussia2018,WorldCupNow,WorldCup2018,WorldCupDreamTeam,CroatiavsDenmark,FoxSports,WorldCup",2,false
"CRO,Family,FlamingPride,CRODEN,WorldCup,BeProud",2,false
"WorldCupRussia2018,WorldCup2018,worldcup,differentclass,France,Belgium",2,false
"Rubialesdimision,SeleccionEspanola,VeteYa,Inepto,FifaWorldCup2018,FIFAWorldCup,WorldCup,ESP,RTVE",2,false
"England,HarryKane,WorldCup,WorldCupRussia2018",2,false
"RealMadrid,BRA,WorldCup",2,false
"messironaldo,WorldCup,FifaWorldCup2018",2,false
"FRA,BEL,FRABEL,FWC,WorldCup,PerfectFan",2,false
"FRA,CRO,NTVWorldCup2018",4,false
"worldcup,bestinthebusiness",2,false
"WorldCup,BigTits",4,false
"Scousers,English,ENG,WorldCup,EnglandvCroatia,YNWA",2,false
"WorldCupFinal,WorldCup,Croatia,France,CroatiavsFrance",2,false
"WorldChampions,WorldCup,Fra",2,false
"7X2FIFA,Algeria,FIFA,WorldCup",2,false
"WorldCup,FRABEL,Hazard",7,false
"pundit,worldcup",2,false
"EngvsCro,croeng,worldcup",3,false
"WorldCup,WorldCup2018,Russia,FIFA",2,false
"ChickenRunsCroatia,worldcup,1kfor1k2018",2,false
"Croatia,DEN,WorldCup",2,false
"Worldcup,PORvURG",2,false
"Hazard,BEL,WorldCup",2,false
"WorldCup,Sentinel2",6,false
"France,2018FIFA,worldcup,Teenagerscores,goal,Pele,sweetshells",2,false
"mbappe,WorldCupFinal,WorldCup,worldcuphero",2,false
"WorldCup,Thailand,ThamLuang",2,false
"ComeOnEngland,ThreeLions,WorldCup",5,false
"POWER,EXO,WorldCup",3,false
"FRA,BEL,WorldCup,RUS,ENG,BEl,FRABEL",2,false
"Eng,WorldCup,FRABEL",3,false
"Worldcup,BLACKROLL",2,false
"WorldCup,WorldChampion",70,false
"food,foodie,meat,steak,foodporn,foodgasm,igphotography,sunshine,bristol,butchers,eatclean,foodphotography,sunday,weekend,football,worldcup",2,false
"FRA,URU,ESP,CRO,WorldCup",2,false
"FRA,WorldCup,CRO",82,false
"WORLDCUP,URU",2,false
"PowerByEXo,WorldCup,FIFAStadiumDJ,ChanyeolLeague",7,false
"FanDuel,WorldCup",2,false
"WorldCup,worldcup2018,ESPRUS",10,false
"Worldcup,worldcup2018,Vmdk",2,false
"Schmeichel,denmark,croatia,worldcup",2,false
"FORTNITE,BEL,FRA,WorldCup",64,false
"Mbappe,FRAARG",3,false
"Congratulations,WorldCup,African,Muslims,WorldCup,justice,FRACRO",2,false
"WorldCup,WorldCup,BafanaBafana,Football,ForTheLoveOfTheGame",2,false
"WorldCup,Qatar2022,winteriscoming",2,false
"WorldCup,CRO,FRA,FIFA,WorldCupFinal",2,false
"ThierryHenry,FRABEL,worldcup",2,false
"BEL,WorldCup,FRA,bbcworldcup",2,false
"WorldCup,ENGLAND",2,false
"CRO,ENG,CROENG,WorldCup,WorldCup2018",4,false
"MamaIwantToSang,WorldCup,france,OnEstLesChampions",2,false
"WorldCup,SundayMorning,Chicago,Texas,Putin,LavarBall,Eggdrp,GoLive",2,false
"StopBitingDeSpoon,WorldCup,FraBel",2,false
"EnglandvsCroatia,WorldCup,ComeOnEngland",2,false
"Salah,Klopp,Griezmann",2,false
"giveaway,WIN,worldcup",13,false
"ENGCRO,EnglandvCroatia,Geographyisnotwastedonfootballers,WorldCup,WorldCup2018",2,false
